POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;CONSUMO_PICCO_PRELEVATA;CONSUMO_PICCO_IMMESSA;TIPO_DATO
IT012E00801406;20250417;183000;2;0.035;;0;;;;2.096;0;E
IT012E00801406;20250417;184500;2;0.031;;0;;;;2.096;0;E
IT012E00801406;20250417;190000;2;0.011;;0;;;;2.096;0;E
IT012E00801406;20250417;191500;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250417;193000;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250417;194500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;200000;2;0.041;;0;;;;2.096;0;E
IT012E00801406;20250417;201500;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250417;203000;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250417;204500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;210000;2;0.036;;0;;;;2.096;0;E
IT012E00801406;20250417;211500;2;0.041;;0;;;;2.096;0;E
IT012E00801406;20250417;213000;2;0.025;;0;;;;2.096;0;E
IT012E00801406;20250417;214500;2;0.027;;0;;;;2.096;0;E
IT012E00801406;20250417;220000;2;0.023;;0;;;;2.096;0;E
IT012E00801406;20250417;221500;2;0.025;;0;;;;2.096;0;E
IT012E00801406;20250417;223000;2;0.048;;0;;;;2.096;0;E
IT012E00801406;20250417;224500;2;0.037;;0;;;;2.096;0;E
IT012E00801406;20250417;230000;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250417;231500;2;0.028;;0;;;;2.096;0;E
IT012E00801406;20250417;233000;2;0.028;;0;;;;2.096;0;E
IT012E00801406;20250417;234500;2;0.033;;0;;;;2.096;0;E
IT012E00801406;20250418;0;2;0.042;;0;;;;2.096;0;E
IT012E00801406;20250418;1500;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250418;3000;2;0.021;;0;;;;2.096;0;E
IT012E00801406;20250418;4500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;10000;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;11500;2;0.024;;0;;;;2.096;0;E
IT012E00801406;20250418;13000;2;0.02;;0;;;;2.096;0;E
IT012E00801406;20250418;14500;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;20000;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;21500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;23000;2;0.016;;0;;;;2.096;0;E
IT012E00801406;20250418;24500;2;0.024;;0;;;;2.096;0;E
IT012E00801406;20250418;30000;2;0.012;;0;;;;2.096;0;E
IT012E00801406;20250418;31500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;33000;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;34500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;40000;2;0.023;;0;;;;2.096;0;E
IT012E00801406;20250418;41500;2;0.02;;0;;;;2.096;0;E
IT012E00801406;20250418;43000;2;0.009;;0;;;;2.096;0;E
